State,polygon,long,lat
Australian Capital Territory,1,149.1380157,-35.5794182
Australian Capital Territory,1,149.1255188,-35.587204
Australian Capital Territory,1,149.08461,-35.5808144
Australian Capital Territory,1,149.0781403,-35.5864182
Australian Capital Territory,1,149.087616,-35.639698
Australian Capital Territory,1,149.0957184,-35.6403427
Australian Capital Territory,1,149.0950317,-35.6767845
Australian Capital Territory,1,149.1094818,-35.69664
Australian Capital Territory,1,149.0993652,-35.716217
Australian Capital Territory,1,149.1039124,-35.7233772
Australian Capital Territory,1,149.0907135,-35.7655983
Australian Capital Territory,1,149.1010895,-35.8050613
Australian Capital Territory,1,149.0865784,-35.8482475
Australian Capital Territory,1,149.0617065,-35.879879
Australian Capital Territory,1,149.0571289,-35.9073982
Australian Capital Territory,1,149.0488129,-35.9204102
Australian Capital Territory,1,149.0121918,-35.8996963
Australian Capital Territory,1,148.9584045,-35.8917885
Australian Capital Territory,1,148.9126587,-35.8554611
Australian Capital Territory,1,148.9039307,-35.8425064
Australian Capital Territory,1,148.9070587,-35.8295631
Australian Capital Territory,1,148.8866272,-35.8100624
Australian Capital Territory,1,148.8977814,-35.794651
Australian Capital Territory,1,148.8894043,-35.7227249
Australian Capital Territory,1,148.8777008,-35.7149353
Australian Capital Territory,1,148.8640747,-35.7338677
Australian Capital Territory,1,148.860733,-35.7528763
Australian Capital Territory,1,148.8347321,-35.740509
Australian Capital Territory,1,148.8278656,-35.7261467
Australian Capital Territory,1,148.7965698,-35.7094498
Australian Capital Territory,1,148.7884216,-35.6977386
Australian Capital Territory,1,148.798523,-35.6668701
Australian Capital Territory,1,148.7736359,-35.6554565
Australian Capital Territory,1,148.770813,-35.6399384
Australian Capital Territory,1,148.7834625,-35.6283417
Australian Capital Territory,1,148.7684784,-35.6031876
Australian Capital Territory,1,148.7887573,-35.5881805
Australian Capital Territory,1,148.7730102,-35.5679092
Australian Capital Territory,1,148.7782288,-35.5588531
Australian Capital Territory,1,148.7692261,-35.5440941
Australian Capital Territory,1,148.7723694,-35.5293274
Australian Capital Territory,1,148.7626801,-35.4955063
Australian Capital Territory,1,148.7744598,-35.4848823
Australian Capital Territory,1,148.7668915,-35.4710541
Australian Capital Territory,1,148.7759399,-35.4546814
Australian Capital Territory,1,148.7748261,-35.4417381
Australian Capital Territory,1,148.7888641,-35.426384
Australian Capital Territory,1,148.7857666,-35.4087486
Australian Capital Territory,1,148.8087006,-35.3823738
Australian Capital Territory,1,148.796402,-35.3586159
Australian Capital Territory,1,148.7932434,-35.3391571
Australian Capital Territory,1,148.8100433,-35.3074112
Australian Capital Territory,1,149.1208954,-35.1245155
Australian Capital Territory,1,149.1643066,-35.1420441
Australian Capital Territory,1,149.1627655,-35.1543312
Australian Capital Territory,1,149.1891022,-35.1656761
Australian Capital Territory,1,149.1836243,-35.1756172
Australian Capital Territory,1,149.1902924,-35.1943512
Australian Capital Territory,1,149.2130585,-35.2202721
Australian Capital Territory,1,149.2386932,-35.2222252
Australian Capital Territory,1,149.2345428,-35.2404709
Australian Capital Territory,1,149.2716217,-35.2708054
Australian Capital Territory,1,149.2984619,-35.2721558
Australian Capital Territory,1,149.3162079,-35.2817764
Australian Capital Territory,1,149.3478699,-35.2915878
Australian Capital Territory,1,149.3505554,-35.2993584
Australian Capital Territory,1,149.3836975,-35.306469
Australian Capital Territory,1,149.3971863,-35.3242531
Australian Capital Territory,1,149.3502655,-35.3513069
Australian Capital Territory,1,149.3363495,-35.3398857
Australian Capital Territory,1,149.2935944,-35.3333931
Australian Capital Territory,1,149.2815704,-35.3380012
Australian Capital Territory,1,149.2492065,-35.3301392
Australian Capital Territory,1,149.230835,-35.3426209
Australian Capital Territory,1,149.204773,-35.3472672
Australian Capital Territory,1,149.1864319,-35.3756485
Australian Capital Territory,1,149.1456451,-35.4167786
Australian Capital Territory,1,149.1390533,-35.4325447
Australian Capital Territory,1,149.151474,-35.4439926
Australian Capital Territory,1,149.1358185,-35.4534378
Australian Capital Territory,1,149.1509552,-35.4898605
Australian Capital Territory,1,149.1501923,-35.5106049
Australian Capital Territory,1,149.1323852,-35.5494575
Australian Capital Territory,1,149.1380157,-35.5794182
New South Wales,1,159.0576324,-31.5211124
New South Wales,1,159.0721588,-31.5177765
New South Wales,1,159.0846863,-31.5433769
New South Wales,1,159.0982056,-31.5585155
New South Wales,1,159.0901337,-31.5793838
New South Wales,1,159.0756226,-31.5692215
New South Wales,1,159.07724,-31.5435333
New South Wales,1,159.0576324,-31.5211124
New South Wales,2,150.066803,-36.4160423
New South Wales,2,150.0737457,-36.4217873
New South Wales,2,150.0773315,-36.4341049
New South Wales,2,150.0567627,-36.4806137
New South Wales,2,150.054657,-36.4927902
New South Wales,2,150.0603638,-36.5249557
