date,confirmed_sum,deaths_sum,recovered_sum,New Case
2020-01-22,555,17,28,NA
2020-01-23,654,18,30,99
2020-01-24,941,26,36,287
2020-01-25,1434,42,39,493
2020-01-26,2118,56,52,684
2020-01-27,2927,82,61,809
2020-01-28,5578,131,107,2651
2020-01-29,6166,133,126,588
2020-01-30,8234,171,143,2068
2020-01-31,9927,213,222,1693
2020-02-01,12038,259,284,2111
2020-02-02,16787,362,472,4749
2020-02-03,19881,426,623,3094
2020-02-04,23892,492,852,4011
2020-02-05,27635,564,1124,3743
2020-02-06,30794,634,1487,3159
2020-02-07,34391,719,2011,3597
2020-02-08,37120,806,2616,2729
2020-02-09,40150,906,3244,3030
2020-02-10,42762,1013,3946,2612
2020-02-11,44802,1113,4683,2040
2020-02-12,45221,1118,5149,419
2020-02-13,60368,1371,6294,15147
2020-02-14,66885,1523,8057,6517
2020-02-15,69030,1666,9394,2145
2020-02-16,71224,1770,10864,2194
2020-02-17,73258,1868,12582,2034
2020-02-18,75136,2007,14351,1878
2020-02-19,75639,2122,16120,503
2020-02-20,76197,2247,18176,558
2020-02-21,76819,2251,18887,622
2020-02-22,78572,2458,22883,1753
2020-02-23,78958,2469,23391,386
2020-02-24,79525,2629,25224,567
2020-02-25,80372,2708,27902,847
2020-02-26,81346,2770,30381,974
2020-02-27,82704,2814,33271,1358
2020-02-28,84070,2872,36705,1366
2020-02-29,85967,2941,39776,1897
2020-03-01,88325,2996,42710,2358
2020-03-02,90262,3085,45596,1937
2020-03-03,92795,3160,48222,2533
2020-03-04,95075,3254,51164,2280
2020-03-05,97844,3347,53790,2769
2020-03-06,101761,3459,55859,3917
2020-03-07,105782,3558,58351,4021
2020-03-08,109754,3801,60686,3972
2020-03-09,113536,3987,62485,3782
2020-03-10,118375,4263,64396,4839
2020-03-11,125704,4610,66994,7329
2020-03-12,130909,4913,68315,5205
2020-03-13,145204,5411,70242,14295
2020-03-14,156283,5831,72613,11079
2020-03-15,167022,6471,76023,10739
2020-03-16,181452,7151,78076,14430
2020-03-17,196917,7957,80828,15465
2020-03-18,216161,8852,83311,19244
2020-03-19,243084,9958,84948,26923
2020-03-20,272698,11439,87393,29614
2020-03-21,304844,13141,91656,32146
2020-03-22,337597,14840,97871,32753
2020-03-23,378381,16758,98336,40784
2020-03-24,418569,19026,107875,40188
2020-03-25,468155,21799,113585,49586
2020-03-26,530138,24800,121949,61983
2020-03-27,594178,28308,130646,64040
2020-03-28,661544,31990,138930,67366
2020-03-29,720695,35456,148397,59151
2020-03-30,783580,39604,163834,62885
2020-03-31,858317,44440,176194,74737
2020-04-01,933905,49968,191552,75588
2020-04-02,1014713,56251,208182,80808
2020-04-03,1097193,62213,223189,82480
2020-04-04,1177447,68044,243197,80254
2020-04-05,1251123,73031,256601,73676
2020-04-06,1322598,78862,272990,71475
2020-04-07,1397537,86765,295842,74939
2020-04-08,1481490,93457,324194,83953
2020-04-09,1567423,101043,348522,85933
2020-04-10,1659674,108286,369646,92251
2020-04-11,1737813,114307,395158,78139
2020-04-12,1836615,120007,414027,98802
2020-04-13,1906692,125730,440558,70077
2020-04-14,1977287,132621,465199,70595
2020-04-15,2057584,140886,501110,80297
2020-04-16,2153578,148157,531206,95994
2020-04-17,2242537,157022,556479,88959
2020-04-18,2316591,163452,579981,74054
2020-04-19,2399451,167983,610748,82860
2020-04-20,2472264,173381,632054,72813
2020-04-21,2546905,180475,666235,74641
2020-04-22,2622750,187174,695398,75845
2020-04-23,2711635,193926,723881,88885
2020-04-24,2799064,200266,773522,87429
2020-04-25,2884420,206459,800432,85356
2020-04-26,2958352,210192,828162,73932
2020-04-27,3027215,214747,854575,68863
2020-04-28,3101078,221109,886872,73863
2020-04-29,3176596,227992,927944,75518
2020-04-30,3261450,233687,991808,84854
2020-05-01,3349915,238942,1028693,88465
2020-05-02,3432050,244129,1068554,82135
2020-05-03,3511157,247797,1099769,79107
2020-05-04,3587874,251890,1132720,76717
2020-05-05,3668635,257612,1168349,80761
2020-05-06,3760836,264196,1213087,92201
2020-05-07,3851895,269905,1251504,91059
2020-05-08,3945002,275250,1287042,93107
2020-05-09,4030363,279661,1339561,85361
2020-05-10,4108270,283086,1372308,77907
2020-05-11,4184838,286697,1418404,76568
2020-05-12,4268247,292319,1454391,83409
2020-05-13,4353211,297539,1509111,84964
2020-05-14,4451126,302813,1547918,97915
2020-05-15,4548549,307998,1595086,97423
2020-05-16,4641727,312150,1650752,93178
2020-05-17,4721968,315546,1690906,80241
2020-05-18,4810315,318853,1743116,88347
2020-05-19,4906193,323662,1794463,95878
2020-05-20,5005761,328483,1852648,99568
