state,country,lat,long,date,confirmed,recovered,deaths,New Case
NA,US,37.0902,-95.7129,2020-01-22,1,0,0,NA
NA,US,37.0902,-95.7129,2020-01-23,1,0,0,0
NA,US,37.0902,-95.7129,2020-01-24,2,0,0,1
NA,US,37.0902,-95.7129,2020-01-25,2,0,0,0
NA,US,37.0902,-95.7129,2020-01-26,5,0,0,3
NA,US,37.0902,-95.7129,2020-01-27,5,0,0,0
NA,US,37.0902,-95.7129,2020-01-28,5,0,0,0
NA,US,37.0902,-95.7129,2020-01-29,5,0,0,0
NA,US,37.0902,-95.7129,2020-01-30,5,0,0,0
NA,US,37.0902,-95.7129,2020-01-31,7,0,0,2
NA,US,37.0902,-95.7129,2020-02-01,8,0,0,1
NA,US,37.0902,-95.7129,2020-02-02,8,0,0,0
NA,US,37.0902,-95.7129,2020-02-03,11,0,0,3
NA,US,37.0902,-95.7129,2020-02-04,11,0,0,0
NA,US,37.0902,-95.7129,2020-02-05,11,0,0,0
NA,US,37.0902,-95.7129,2020-02-06,11,0,0,0
NA,US,37.0902,-95.7129,2020-02-07,11,0,0,0
NA,US,37.0902,-95.7129,2020-02-08,11,0,0,0
NA,US,37.0902,-95.7129,2020-02-09,11,3,0,0
NA,US,37.0902,-95.7129,2020-02-10,11,3,0,0
NA,US,37.0902,-95.7129,2020-02-11,12,3,0,1
NA,US,37.0902,-95.7129,2020-02-12,12,3,0,0
NA,US,37.0902,-95.7129,2020-02-13,13,3,0,1
NA,US,37.0902,-95.7129,2020-02-14,13,3,0,0
NA,US,37.0902,-95.7129,2020-02-15,13,3,0,0
NA,US,37.0902,-95.7129,2020-02-16,13,3,0,0
NA,US,37.0902,-95.7129,2020-02-17,13,3,0,0
NA,US,37.0902,-95.7129,2020-02-18,13,3,0,0
NA,US,37.0902,-95.7129,2020-02-19,13,3,0,0
NA,US,37.0902,-95.7129,2020-02-20,13,3,0,0
NA,US,37.0902,-95.7129,2020-02-21,15,5,0,2
NA,US,37.0902,-95.7129,2020-02-22,15,5,0,0
NA,US,37.0902,-95.7129,2020-02-23,15,5,0,0
NA,US,37.0902,-95.7129,2020-02-24,15,5,0,0
NA,US,37.0902,-95.7129,2020-02-25,15,6,0,0
NA,US,37.0902,-95.7129,2020-02-26,15,6,0,0
NA,US,37.0902,-95.7129,2020-02-27,16,6,0,1
NA,US,37.0902,-95.7129,2020-02-28,16,7,0,0
NA,US,37.0902,-95.7129,2020-02-29,24,7,1,8
NA,US,37.0902,-95.7129,2020-03-01,30,7,1,6
NA,US,37.0902,-95.7129,2020-03-02,53,7,6,23
NA,US,37.0902,-95.7129,2020-03-03,73,7,7,20
NA,US,37.0902,-95.7129,2020-03-04,104,7,11,31
