country_region,date,Confirmed,recovered_sum,deaths_sum,New Case,region,code,year
USA,2020-07-07,2996098,936476,131480,60021,United States,USA,2016
Brazil,2020-07-07,1668589,1107012,66741,45305,Brazil,BRA,2016
India,2020-07-07,742417,456831,20642,22753,India,IND,2016
Russia,2020-07-07,693215,463103,10478,6363,NA,NA,NA
Peru,2020-07-07,309278,200938,10952,3575,Peru,PER,2016
Chile,2020-07-07,301019,268251,6434,2462,Chile,CHL,2016
United Kingdom,2020-07-07,287874,1375,44476,584,United Kingdom,GBR,2016
Mexico,2020-07-07,268008,209437,32014,6258,Mexico,MEX,2016
Spain,2020-07-07,252130,150376,28392,341,Spain,ESP,2016
Iran,2020-07-07,245688,207000,11931,2637,NA,NA,NA
Italy,2020-07-07,241956,192815,34899,137,Italy,ITA,2016
Pakistan,2020-07-07,237489,140965,4922,2980,Pakistan,PAK,2016
Saudi Arabia,2020-07-07,217108,154839,2017,3392,Saudi Arabia,SAU,2016
South Africa,2020-07-07,215855,102299,3502,10134,South Africa,ZAF,2016
Turkey,2020-07-07,207897,185292,5260,1053,Turkey,TUR,2016
France,2020-07-07,206072,77780,29936,475,France,FRA,2016
Germany,2020-07-07,198343,182661,9032,279,Germany,DEU,2016
Bangladesh,2020-07-07,168645,78102,2151,3027,Bangladesh,BGD,2016
Colombia,2020-07-07,120281,50370,4452,2869,Colombia,COL,2016
Canada,2020-07-07,108023,0,8765,208,Canada,CAN,2016
Qatar,2020-07-07,100945,94903,134,600,Qatar,QAT,2016
China,2020-07-07,84917,79754,4641,28,China,CHN,2016
Argentina,2020-07-07,83426,30095,1644,2979,Argentina,ARG,2016
Egypt,2020-07-07,77279,21718,3489,1057,NA,NA,NA
Sweden,2020-07-07,73344,0,5447,283,Sweden,SWE,2016
Indonesia,2020-07-07,66226,30785,3309,1268,Indonesia,IDN,2016
Iraq,2020-07-07,64701,36252,2685,2426,Iraq,IRQ,2016
Belarus,2020-07-07,64003,51902,436,199,Belarus,BLR,2016
