date,status,cases
2020-01-22,Confirmed,555
2020-01-22,Deaths,17
2020-01-22,Recovered,28
2020-01-23,Confirmed,654
2020-01-23,Deaths,18
2020-01-23,Recovered,30
2020-01-24,Confirmed,941
2020-01-24,Deaths,26
2020-01-24,Recovered,36
2020-01-25,Confirmed,1434
2020-01-25,Deaths,42
2020-01-25,Recovered,39
2020-01-26,Confirmed,2118
2020-01-26,Deaths,56
2020-01-26,Recovered,52
2020-01-27,Confirmed,2927
2020-01-27,Deaths,82
2020-01-27,Recovered,61
2020-01-28,Confirmed,5578
2020-01-28,Deaths,131
2020-01-28,Recovered,107
2020-01-29,Confirmed,6166
2020-01-29,Deaths,133
2020-01-29,Recovered,126
2020-01-30,Confirmed,8234
2020-01-30,Deaths,171
2020-01-30,Recovered,143
2020-01-31,Confirmed,9927
2020-01-31,Deaths,213
2020-01-31,Recovered,222
2020-02-01,Confirmed,12038
2020-02-01,Deaths,259
2020-02-01,Recovered,284
2020-02-02,Confirmed,16787
2020-02-02,Deaths,362
2020-02-02,Recovered,472
2020-02-03,Confirmed,19887
2020-02-03,Deaths,426
2020-02-03,Recovered,623
2020-02-04,Confirmed,23898
2020-02-04,Deaths,492
2020-02-04,Recovered,852
2020-02-05,Confirmed,27642
2020-02-05,Deaths,564
2020-02-05,Recovered,1124
2020-02-06,Confirmed,30801
2020-02-06,Deaths,634
2020-02-06,Recovered,1487
2020-02-07,Confirmed,34397
2020-02-07,Deaths,719
2020-02-07,Recovered,2011
2020-02-08,Confirmed,37130
2020-02-08,Deaths,806
2020-02-08,Recovered,2616
2020-02-09,Confirmed,40161
2020-02-09,Deaths,906
2020-02-09,Recovered,3244
2020-02-10,Confirmed,42768
2020-02-10,Deaths,1013
2020-02-10,Recovered,3946
2020-02-11,Confirmed,44809
2020-02-11,Deaths,1113
2020-02-11,Recovered,4683
2020-02-12,Confirmed,45228
2020-02-12,Deaths,1118
2020-02-12,Recovered,5149
2020-02-13,Confirmed,60376
2020-02-13,Deaths,1371
2020-02-13,Recovered,6294
2020-02-14,Confirmed,66894
2020-02-14,Deaths,1523
2020-02-14,Recovered,8057
2020-02-15,Confirmed,69039
2020-02-15,Deaths,1666
2020-02-15,Recovered,9394
2020-02-16,Confirmed,71233
2020-02-16,Deaths,1770
2020-02-16,Recovered,10864
2020-02-17,Confirmed,73268
2020-02-17,Deaths,1868
2020-02-17,Recovered,12582
2020-02-18,Confirmed,75146
2020-02-18,Deaths,2007
2020-02-18,Recovered,14351
2020-02-19,Confirmed,75650
2020-02-19,Deaths,2122
2020-02-19,Recovered,16120
2020-02-20,Confirmed,76210
2020-02-20,Deaths,2247
2020-02-20,Recovered,18176
2020-02-21,Confirmed,76833
2020-02-21,Deaths,2251
2020-02-21,Recovered,18887
2020-02-22,Confirmed,78586
2020-02-22,Deaths,2458
2020-02-22,Recovered,22883
2020-02-23,Confirmed,78977
2020-02-23,Deaths,2469
2020-02-23,Recovered,23391
2020-02-24,Confirmed,79542
2020-02-24,Deaths,2629
2020-02-24,Recovered,25224
2020-02-25,Confirmed,80393
2020-02-25,Deaths,2708
2020-02-25,Recovered,27902
2020-02-26,Confirmed,81370
2020-02-26,Deaths,2770
2020-02-26,Recovered,30381
2020-02-27,Confirmed,82733
2020-02-27,Deaths,2814
2020-02-27,Recovered,33271
2020-02-28,Confirmed,84106
2020-02-28,Deaths,2872
2020-02-28,Recovered,36705
2020-02-29,Confirmed,86005
2020-02-29,Deaths,2941
2020-02-29,Recovered,39776
2020-03-01,Confirmed,88383
2020-03-01,Deaths,2996
2020-03-01,Recovered,42710
2020-03-02,Confirmed,90356
2020-03-02,Deaths,3085
2020-03-02,Recovered,45596
2020-03-03,Confirmed,92933
2020-03-03,Deaths,3160
2020-03-03,Recovered,48222
2020-03-04,Confirmed,95235
2020-03-04,Deaths,3254
2020-03-04,Recovered,51164
2020-03-05,Confirmed,98023
2020-03-05,Deaths,3347
2020-03-05,Recovered,53790
2020-03-06,Confirmed,101971
2020-03-06,Deaths,3459
2020-03-06,Recovered,55859
2020-03-07,Confirmed,106004
2020-03-07,Deaths,3558
2020-03-07,Recovered,58351
2020-03-08,Confirmed,109963
2020-03-08,Deaths,3801
2020-03-08,Recovered,60686
2020-03-09,Confirmed,113844
2020-03-09,Deaths,3987
2020-03-09,Recovered,62485
2020-03-10,Confirmed,118880
2020-03-10,Deaths,4263
2020-03-10,Recovered,64396
2020-03-11,Confirmed,126546
2020-03-11,Deaths,4611
2020-03-11,Recovered,66994
2020-03-12,Confirmed,132240
2020-03-12,Deaths,4913
2020-03-12,Recovered,68315
2020-03-13,Confirmed,146672
2020-03-13,Deaths,5411
2020-03-13,Recovered,70242
2020-03-14,Confirmed,157773
2020-03-14,Deaths,5830
2020-03-14,Recovered,72613
2020-03-15,Confirmed,168954
2020-03-15,Deaths,6469
2020-03-15,Recovered,76023
2020-03-16,Confirmed,183593
2020-03-16,Deaths,7148
2020-03-16,Recovered,78076
2020-03-17,Confirmed,199419
2020-03-17,Deaths,7954
2020-03-17,Recovered,80828
2020-03-18,Confirmed,218989
2020-03-18,Deaths,8849
2020-03-18,Recovered,83311
2020-03-19,Confirmed,246905
2020-03-19,Deaths,9954
2020-03-19,Recovered,84948
2020-03-20,Confirmed,276475
2020-03-20,Deaths,11435
2020-03-20,Recovered,87393
2020-03-21,Confirmed,308790
2020-03-21,Deaths,13141
2020-03-21,Recovered,91656
2020-03-22,Confirmed,342252
2020-03-22,Deaths,14841
2020-03-22,Recovered,97871
2020-03-23,Confirmed,384404
2020-03-23,Deaths,16758
2020-03-23,Recovered,98336
2020-03-24,Confirmed,425535
2020-03-24,Deaths,19028
2020-03-24,Recovered,107875
2020-03-25,Confirmed,476369
2020-03-25,Deaths,21803
2020-03-25,Recovered,113585
2020-03-26,Confirmed,539307
2020-03-26,Deaths,24810
2020-03-26,Recovered,121949
2020-03-27,Confirmed,603674
2020-03-27,Deaths,28324
2020-03-27,Recovered,130646
2020-03-28,Confirmed,671309
2020-03-28,Deaths,32003
2020-03-28,Recovered,138930
2020-03-29,Confirmed,730880
2020-03-29,Deaths,35471
2020-03-29,Recovered,148397
2020-03-30,Confirmed,795425
2020-03-30,Deaths,39633
2020-03-30,Recovered,163834
2020-03-31,Confirmed,871674
2020-03-31,Deaths,44477
2020-03-31,Recovered,176194
2020-04-01,Confirmed,947840
2020-04-01,Deaths,50027
2020-04-01,Recovered,191552
2020-04-02,Confirmed,1029275
2020-04-02,Deaths,56334
2020-04-02,Recovered,208182
2020-04-03,Confirmed,1112215
2020-04-03,Deaths,62314
2020-04-03,Recovered,223189
2020-04-04,Confirmed,1192742
2020-04-04,Deaths,68163
2020-04-04,Recovered,243197
2020-04-05,Confirmed,1264109
2020-04-05,Deaths,73178
2020-04-05,Recovered,256601
2020-04-06,Confirmed,1337062
2020-04-06,Deaths,79015
2020-04-06,Recovered,272990
2020-04-07,Confirmed,1413812
2020-04-07,Deaths,86922
2020-04-07,Recovered,295842
2020-04-08,Confirmed,1497403
2020-04-08,Deaths,93651
2020-04-08,Recovered,324194
2020-04-09,Confirmed,1583844
2020-04-09,Deaths,101266
2020-04-09,Recovered,348522
2020-04-10,Confirmed,1671729
2020-04-10,Deaths,108531
2020-04-10,Recovered,369646
2020-04-11,Confirmed,1748223
2020-04-11,Deaths,114586
2020-04-11,Recovered,395158
2020-04-12,Confirmed,1845226
2020-04-12,Deaths,120317
2020-04-12,Recovered,414027
2020-04-13,Confirmed,1915142
2020-04-13,Deaths,126070
2020-04-13,Recovered,440558
2020-04-14,Confirmed,1984840
2020-04-14,Deaths,132972
2020-04-14,Recovered,465199
2020-04-15,Confirmed,2065566
2020-04-15,Deaths,141271
2020-04-15,Recovered,501110
2020-04-16,Confirmed,2162241
2020-04-16,Deaths,148568
2020-04-16,Recovered,531206
2020-04-17,Confirmed,2250566
2020-04-17,Deaths,157457
2020-04-17,Recovered,556479
2020-04-18,Confirmed,2323831
2020-04-18,Deaths,163928
2020-04-18,Recovered,579981
2020-04-19,Confirmed,2404673
2020-04-19,Deaths,168506
2020-04-19,Recovered,610748
2020-04-20,Confirmed,2477668
2020-04-20,Deaths,173929
2020-04-20,Recovered,632054
2020-04-21,Confirmed,2552783
2020-04-21,Deaths,181080
2020-04-21,Recovered,666235
2020-04-22,Confirmed,2629660
2020-04-22,Deaths,187837
