country_region,date,confirmed_sum,recovered_sum,deaths_sum,New Case
Afghanistan,2020-07-09,33908,20847,957,314
Albania,2020-07-09,3188,1832,83,82
Algeria,2020-07-09,17808,12637,988,460
Andorra,2020-07-09,855,802,52,0
Angola,2020-07-09,396,117,22,10
Antigua and Barbuda,2020-07-09,73,57,3,3
Argentina,2020-07-09,90693,38313,1720,3663
Armenia,2020-07-09,30346,18000,535,526
Australia,2020-07-09,9374,7576,106,318
Austria,2020-07-09,18615,16758,706,102
Azerbaijan,2020-07-09,22464,13591,284,548
Bahamas,2020-07-09,107,89,11,1
Bahrain,2020-07-09,31528,26520,103,597
Bangladesh,2020-07-09,175494,84544,2238,3360
Barbados,2020-07-09,98,90,7,0
Belarus,2020-07-09,64411,53609,449,187
Belgium,2020-07-09,62210,17159,9778,87
Belize,2020-07-09,30,19,2,0
Benin,2020-07-09,1285,333,23,86
Bhutan,2020-07-09,80,55,0,0
Bolivia,2020-07-09,44113,13354,1638,1129
Bosnia and Herzegovina,2020-07-09,6086,2815,214,217
Botswana,2020-07-09,314,31,1,0
Brazil,2020-07-09,1755779,1171447,69184,42619
Brunei,2020-07-09,141,138,3,0
Bulgaria,2020-07-09,6672,3229,262,330
Burkina Faso,2020-07-09,1005,862,53,2
Burma,2020-07-09,321,254,6,4
Burundi,2020-07-09,191,118,1,0
Cabo Verde,2020-07-09,1552,730,18,10
Cambodia,2020-07-09,141,131,0,0
Cameroon,2020-07-09,14916,0,359,0
Canada,2020-07-09,108656,0,8797,322
Central African Republic,2020-07-09,4200,1142,52,91
Chad,2020-07-09,873,788,74,0
Chile,2020-07-09,306216,274922,6682,3133
China,2020-07-09,84992,76742,4641,42
Colombia,2020-07-09,128638,53634,4791,4144
Comoros,2020-07-09,314,272,7,1
Congo (Brazzaville),2020-07-09,1821,525,47,0
Congo (Kinshasa),2020-07-09,7846,3513,189,414
Costa Rica,2020-07-09,6485,2023,25,649
Cote d'Ivoire,2020-07-09,11750,5752,79,246
Croatia,2020-07-09,3416,2323,115,91
