state,date,confirmed_sum,deaths_sum
Alabama,2020-07-09,49174,1068
Alaska,2020-07-09,1268,17
Arizona,2020-07-09,112671,2038
Arkansas,2020-07-09,26052,309
California,2020-07-09,302484,6859
Colorado,2020-07-09,35507,1706
Connecticut,2020-07-09,47209,4348
Delaware,2020-07-09,12531,517
Florida,2020-07-09,232718,4009
Georgia,2020-07-09,106727,2930
Hawaii,2020-07-09,1130,19
Idaho,2020-07-09,9429,100
Illinois,2020-07-09,151572,7329
Indiana,2020-07-09,49575,2739
Iowa,2020-07-09,33254,741
Kansas,2020-07-09,17785,293
Kentucky,2020-07-09,18245,612
Louisiana,2020-07-09,71994,3355
Maine,2020-07-09,3486,111
Maryland,2020-07-09,71447,3288
Massachusetts,2020-07-09,110897,8268
Michigan,2020-07-09,75063,6271
Minnesota,2020-07-09,40163,1528
Mississippi,2020-07-09,33591,1204
Missouri,2020-07-09,26410,1073
Montana,2020-07-09,1466,25
Nebraska,2020-07-09,20623,284
Nevada,2020-07-09,24904,571
New Hampshire,2020-07-09,5973,387
New Jersey,2020-07-09,174270,15448
New Mexico,2020-07-09,14251,533
New York,2020-07-09,399513,32283
North Carolina,2020-07-09,79656,1477
North Dakota,2020-07-09,4071,85
Ohio,2020-07-09,61331,3006
Oklahoma,2020-07-09,18497,410
Oregon,2020-07-09,11188,230
Pennsylvania,2020-07-09,97542,6848
Rhode Island,2020-07-09,17243,974
South Carolina,2020-07-09,50691,905
South Dakota,2020-07-09,7336,101
Tennessee,2020-07-09,57591,710
Texas,2020-07-09,236541,3006
Utah,2020-07-09,27356,205
Vermont,2020-07-09,1272,56
Virginia,2020-07-09,67988,1937
Washington,2020-07-09,38581,1409
West Virginia,2020-07-09,3826,95
Wisconsin,2020-07-09,33908,809
Wyoming,2020-07-09,1769,21
