region,code,year,country_region
Arab World,ARB,2016,Arab World
Caribbean small states,CSS,2016,Caribbean small states
Central Europe and the Baltics,CEB,2016,Central Europe and the Baltics
Early-demographic dividend,EAR,2016,Early-demographic dividend
East Asia & Pacific,EAS,2016,East Asia & Pacific
East Asia & Pacific (excluding high income),EAP,2016,East Asia & Pacific (excluding high income)
East Asia & Pacific (IDA & IBRD countries),TEA,2016,East Asia & Pacific (IDA & IBRD countries)
Euro area,EMU,2016,Euro area
Europe & Central Asia,ECS,2016,Europe & Central Asia
Europe & Central Asia (excluding high income),ECA,2016,Europe & Central Asia (excluding high income)
Europe & Central Asia (IDA & IBRD countries),TEC,2016,Europe & Central Asia (IDA & IBRD countries)
European Union,EUU,2016,European Union
Fragile and conflict affected situations,FCS,2016,Fragile and conflict affected situations
Heavily indebted poor countries (HIPC),HPC,2016,Heavily indebted poor countries (HIPC)
High income,HIC,2016,High income
IBRD only,IBD,2016,IBRD only
IDA & IBRD total,IBT,2016,IDA & IBRD total
IDA blend,IDB,2016,IDA blend
IDA only,IDX,2016,IDA only
IDA total,IDA,2016,IDA total
Late-demographic dividend,LTE,2016,Late-demographic dividend
Latin America & Caribbean,LCN,2016,Latin America & Caribbean
Latin America & Caribbean (excluding high income),LAC,2016,Latin America & Caribbean (excluding high income)
Latin America & the Caribbean (IDA & IBRD countries),TLA,2016,Latin America & the Caribbean (IDA & IBRD countries)
Least developed countries: UN classification,LDC,2016,Least developed countries: UN classification
Low & middle income,LMY,2016,Low & middle income
Low income,LIC,2016,Low income
Lower middle income,LMC,2016,Lower middle income
Middle East & North Africa,MEA,2016,Middle East & North Africa
Middle East & North Africa (excluding high income),MNA,2016,Middle East & North Africa (excluding high income)
Middle East & North Africa (IDA & IBRD countries),TMN,2016,Middle East & North Africa (IDA & IBRD countries)
Middle income,MIC,2016,Middle income
North America,NAC,2016,North America
OECD members,OED,2016,OECD members
Other small states,OSS,2016,Other small states
Pacific island small states,PSS,2016,Pacific island small states
Post-demographic dividend,PST,2016,Post-demographic dividend
Pre-demographic dividend,PRE,2016,Pre-demographic dividend
Small states,SST,2016,Small states
South Asia,SAS,2016,South Asia
South Asia (IDA & IBRD),TSA,2016,South Asia (IDA & IBRD)
Sub-Saharan Africa,SSF,2016,Sub-Saharan Africa
Sub-Saharan Africa (excluding high income),SSA,2016,Sub-Saharan Africa (excluding high income)
Sub-Saharan Africa (IDA & IBRD countries),TSS,2016,Sub-Saharan Africa (IDA & IBRD countries)
Upper middle income,UMC,2016,Upper middle income
World,WLD,2016,World
Afghanistan,AFG,2016,Afghanistan
Albania,ALB,2016,Albania
Algeria,DZA,2016,Algeria
American Samoa,ASM,2016,American Samoa
Andorra,AND,2016,Andorra
Angola,AGO,2016,Angola
Antigua and Barbuda,ATG,2016,Antigua and Barbuda
Argentina,ARG,2016,Argentina
Armenia,ARM,2016,Armenia
Australia,AUS,2016,Australia
Austria,AUT,2016,Austria
Azerbaijan,AZE,2016,Azerbaijan
"Bahamas, The",BHS,2016,Bahamas
Bahrain,BHR,2016,Bahrain
Bangladesh,BGD,2016,Bangladesh
Barbados,BRB,2016,Barbados
Belarus,BLR,2016,Belarus
Belgium,BEL,2016,Belgium
Belize,BLZ,2016,Belize
Benin,BEN,2016,Benin
Bhutan,BTN,2016,Bhutan
Bolivia,BOL,2016,Bolivia
Bosnia and Herzegovina,BIH,2016,Bosnia and Herzegovina
Botswana,BWA,2016,Botswana
Brazil,BRA,2016,Brazil
Brunei Darussalam,BRN,2016,Brunei Darussalam
Bulgaria,BGR,2016,Bulgaria
Burkina Faso,BFA,2016,Burkina Faso
Burundi,BDI,2016,Burundi
Cabo Verde,CPV,2016,Cabo Verde
Cambodia,KHM,2016,Cambodia
Cameroon,CMR,2016,Cameroon
Canada,CAN,2016,Canada
Central African Republic,CAF,2016,Central African Republic
Chad,TCD,2016,Chad
Chile,CHL,2016,Chile
China,CHN,2016,China
Colombia,COL,2016,Colombia
Comoros,COM,2016,Comoros
"Congo, Dem. Rep.",COD,2016,Congo (Kinshasa)
"Congo, Rep.",COG,2016,Congo (Brazzaville)
Costa Rica,CRI,2016,Costa Rica
Cote d'Ivoire,CIV,2016,Cote d'Ivoire
Croatia,HRV,2016,Croatia
Cyprus,CYP,2016,Cyprus
Czech Republic,CZE,2016,Czechia
Denmark,DNK,2016,Denmark
Dominica,DMA,2016,Dominica
Dominican Republic,DOM,2016,Dominican Republic
Ecuador,ECU,2016,Ecuador
"Egypt, Arab Rep.",EGY,2016,"Egypt, Arab Rep."
El Salvador,SLV,2016,El Salvador
Equatorial Guinea,GNQ,2016,Equatorial Guinea
Estonia,EST,2016,Estonia
Ethiopia,ETH,2016,Ethiopia
Fiji,FJI,2016,Fiji
Finland,FIN,2016,Finland
France,FRA,2016,France
Gabon,GAB,2016,Gabon
"Gambia, The",GMB,2016,Gambia
Georgia,GEO,2016,Georgia
Germany,DEU,2016,Germany
Ghana,GHA,2016,Ghana
Greece,GRC,2016,Greece
Grenada,GRD,2016,Grenada
Guam,GUM,2016,Guam
Guatemala,GTM,2016,Guatemala
Guinea,GIN,2016,Guinea
Guinea-Bissau,GNB,2016,Guinea-Bissau
Guyana,GUY,2016,Guyana
Haiti,HTI,2016,Haiti
Honduras,HND,2016,Honduras
"Hong Kong SAR, China",HKG,2016,"Hong Kong SAR, China"
Hungary,HUN,2016,Hungary
Iceland,ISL,2016,Iceland
India,IND,2016,India
