country_region,date,Confirmed,Recovered,Deaths,New Cases,region,code
USA,2020-07-10,3184573,983185,134092,66627,United States,USA
Brazil,2020-07-10,1800827,1217361,70398,45048,Brazil,BRA
India,2020-07-10,820916,515386,22123,27114,India,IND
Russia,2020-07-10,712863,488234,11000,6623,NA,NA
Peru,2020-07-10,319646,210638,11500,3198,Peru,PER
Chile,2020-07-10,309274,278053,6781,3058,Chile,CHL
United Kingdom,2020-07-10,289678,1378,44735,524,United Kingdom,GBR
Mexico,2020-07-10,289174,225356,34191,6891,Mexico,MEX
Spain,2020-07-10,253908,150376,28403,852,Spain,ESP
Iran,2020-07-10,252720,215015,12447,2262,NA,NA
South Africa,2020-07-10,250687,118232,3860,12348,South Africa,ZAF
Pakistan,2020-07-10,246351,153134,5123,2752,Pakistan,PAK
Italy,2020-07-10,242639,194273,34938,276,Italy,ITA
Saudi Arabia,2020-07-10,226486,163026,2151,3159,Saudi Arabia,SAU
Turkey,2020-07-10,210965,191883,5323,1003,Turkey,TUR
France,2020-07-10,208015,78513,30007,659,France,FRA
Germany,2020-07-10,199332,184028,9063,331,Germany,DEU
Bangladesh,2020-07-10,178443,86406,2275,2949,Bangladesh,BGD
Colombia,2020-07-10,133973,56272,4985,5335,Colombia,COL
Canada,2020-07-10,108984,0,8811,328,Canada,CAN
Qatar,2020-07-10,102630,98233,146,520,Qatar,QAT
Argentina,2020-07-10,94060,38984,1774,3367,Argentina,ARG
China,2020-07-10,84992,76742,4641,0,China,CHN
Egypt,2020-07-10,80235,23274,3702,981,NA,NA
Sweden,2020-07-10,74898,0,5526,565,Sweden,SWE
Iraq,2020-07-10,72460,41380,2960,2848,Iraq,IRQ
Indonesia,2020-07-10,72347,33529,3469,1611,Indonesia,IDN
Ecuador,2020-07-10,65018,29577,4939,797,Ecuador,ECU
Belarus,2020-07-10,64604,54254,454,193,Belarus,BLR
Belgium,2020-07-10,62357,17179,9781,147,Belgium,BEL
Kazakhstan,2020-07-10,56455,32500,264,1708,Kazakhstan,KAZ
United Arab Emirates,2020-07-10,54050,43969,330,473,United Arab Emirates,ARE
Oman,2020-07-10,53614,34225,244,1889,Oman,OMN
Kuwait,2020-07-10,53580,43214,383,740,Kuwait,KWT
Ukraine,2020-07-10,53116,25634,1362,831,Ukraine,UKR
Philippines,2020-07-10,52914,13230,1360,1160,Philippines,PHL
Netherlands,2020-07-10,51055,192,6155,42,Netherlands,NLD
Portugal,2020-07-10,45679,30350,1646,402,Portugal,PRT
Singapore,2020-07-10,45614,41780,26,191,Singapore,SGP
Bolivia,2020-07-10,45565,13918,1702,1452,Bolivia,BOL
Panama,2020-07-10,43257,21426,863,1041,Panama,PAN
Dominican Republic,2020-07-10,41915,20830,864,1125,Dominican Republic,DOM
Poland,2020-07-10,37216,26048,1562,265,Poland,POL
Israel,2020-07-10,36266,18613,351,1441,Israel,ISR
Afghanistan,2020-07-10,34194,20882,971,286,Afghanistan,AFG
Switzerland,2020-07-10,32690,29400,1966,104,Switzerland,CHE
Bahrain,2020-07-10,32039,27213,104,511,Bahrain,BHR
Romania,2020-07-10,31381,21129,1847,592,Romania,ROU
Nigeria,2020-07-10,31323,12795,709,575,Nigeria,NGA
Armenia,2020-07-10,30903,18709,546,557,Armenia,ARM
Guatemala,2020-07-10,27619,4024,1139,961,Guatemala,GTM
