state,date,new_case_sum,confirmed_sum,deaths_sum
Alabama,2020-07-16,2021,61088,1230
Alaska,2020-07-16,62,1693,17
Arizona,2020-07-16,3259,134613,2492
Arkansas,2020-07-16,817,31114,341
California,2020-07-16,9821,364706,7489
Colorado,2020-07-16,571,38708,1745
Connecticut,2020-07-16,114,47750,4389
Delaware,2020-07-16,64,13114,521
Florida,2020-07-16,13965,315775,4677
Georgia,2020-07-16,3449,131287,3105
Hawaii,2020-07-16,19,1311,22
Idaho,2020-07-16,685,13134,114
Illinois,2020-07-16,1257,159082,7452
Indiana,2020-07-16,710,54080,2795
Iowa,2020-07-16,814,37350,781
Kansas,2020-07-16,468,20817,305
Kentucky,2020-07-16,406,21083,650
Louisiana,2020-07-16,2280,86411,3485
Maine,2020-07-16,20,3598,114
Maryland,2020-07-16,648,75664,3347
Massachusetts,2020-07-16,234,112581,8380
Michigan,2020-07-16,926,79839,6348
Minnesota,2020-07-16,605,44347,1566
Mississippi,2020-07-16,1230,39797,1308
Missouri,2020-07-16,816,30873,1121
Montana,2020-07-16,135,2231,35
Nebraska,2020-07-16,155,22134,299
Nevada,2020-07-16,1447,31915,626
New Hampshire,2020-07-16,26,6139,395
New Jersey,2020-07-16,223,176501,15665
New Mexico,2020-07-16,297,16138,562
New York,2020-07-16,769,404775,32446
North Carolina,2020-07-16,1871,93708,1607
North Dakota,2020-07-16,103,4668,89
Ohio,2020-07-16,1290,70601,3103
Oklahoma,2020-07-16,626,23440,438
Oregon,2020-07-16,428,13509,249
Pennsylvania,2020-07-16,806,103075,6984
Rhode Island,2020-07-16,71,17711,988
South Carolina,2020-07-16,1838,64083,1070
South Dakota,2020-07-16,42,7694,115
Tennessee,2020-07-16,2479,71540,796
Texas,2020-07-16,14962,305854,3657
Utah,2020-07-16,954,31845,234
Vermont,2020-07-16,7,1325,56
Virginia,2020-07-16,904,74431,2007
Washington,2020-07-16,1267,44313,1427
West Virginia,2020-07-16,100,4657,99
Wisconsin,2020-07-16,900,39627,831
Wyoming,2020-07-16,41,2026,24
