date,state,fips,measure,data_quality_grade,COVID tracking deaths,day,days_elapsed,yr,week,week_year,month_lbl,month,floor_month
2020-07-16,AK,02,death,A,17,16,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,AL,01,death,B,1230,16,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,AR,05,death,A,341,16,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,AZ,04,death,A+,2492,16,134,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,CA,06,death,B,7345,16,134,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,CO,08,death,A,1601,16,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,CT,09,death,B,4389,16,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,DC,11,death,A+,574,16,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,DE,10,death,A+,521,16,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,FL,12,death,A,4782,16,134,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,GA,13,death,A,3104,16,134,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,HI,15,death,D,22,16,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,IA,19,death,A+,778,16,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,ID,16,death,A,110,16,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,IL,17,death,A,7452,16,134,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,IN,18,death,A+,2795,16,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,KS,20,death,A,299,16,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,KY,21,death,B,650,16,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,LA,22,death,B,3485,16,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,MA,25,death,A+,8380,16,126,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,MD,24,death,A,3347,16,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,ME,23,death,A+,114,16,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,MI,26,death,A+,6348,16,137,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,MN,27,death,A,1566,16,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,MO,29,death,B,1113,16,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,MS,28,death,A,1308,16,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,MT,30,death,C,35,16,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,NC,37,death,A,1588,16,134,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,ND,38,death,D,82,16,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,NE,31,death,B,291,16,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,NH,33,death,B,394,16,134,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,NJ,34,death,A+,15665,16,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,NM,35,death,B,557,16,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,NV,32,death,A+,626,16,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,NY,36,death,A,25014,16,134,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,OH,39,death,B,3103,16,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,OK,40,death,A+,438,16,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,OR,41,death,A+,249,16,134,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,PA,42,death,A+,6973,16,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,RI,44,death,A+,988,16,137,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,SC,45,death,A,1070,16,134,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,SD,46,death,B,115,16,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,TN,47,death,A,796,16,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,TX,48,death,B,3561,16,134,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-16,UT,49,death,A+,234,16,131,2020,29,2020-07-12,Jul,7,2020-07-01
