date,state,fips,Cases Key,Cases Value,day,days_elapsed,yr,week,week_year,month_lbl,month,floor_month,state_name
2020-07-16,AK,02,NYT cases,2030,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Alaska
2020-07-16,AK,02,COVID tracking positive tests,2032,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Alaska
2020-07-16,AL,01,NYT cases,61088,16,131,2020,29,2020-07-12,Jul,7,2020-07-01,Alabama
2020-07-16,AL,01,COVID tracking positive tests,61088,16,131,2020,29,2020-07-12,Jul,7,2020-07-01,Alabama
2020-07-16,AR,05,NYT cases,31114,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Arkansas
2020-07-16,AR,05,COVID tracking positive tests,31114,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Arkansas
2020-07-16,AZ,04,NYT cases,134730,16,134,2020,29,2020-07-12,Jul,7,2020-07-01,Arizona
2020-07-16,AZ,04,COVID tracking positive tests,134613,16,134,2020,29,2020-07-12,Jul,7,2020-07-01,Arizona
2020-07-16,CA,06,NYT cases,364761,16,134,2020,29,2020-07-12,Jul,7,2020-07-01,California
2020-07-16,CA,06,COVID tracking positive tests,356178,16,134,2020,29,2020-07-12,Jul,7,2020-07-01,California
2020-07-16,CO,08,NYT cases,38817,16,133,2020,29,2020-07-12,Jul,7,2020-07-01,Colorado
2020-07-16,CO,08,COVID tracking positive tests,38155,16,133,2020,29,2020-07-12,Jul,7,2020-07-01,Colorado
2020-07-16,CT,09,NYT cases,47750,16,131,2020,29,2020-07-12,Jul,7,2020-07-01,Connecticut
2020-07-16,CT,09,COVID tracking positive tests,47750,16,131,2020,29,2020-07-12,Jul,7,2020-07-01,Connecticut
2020-07-16,DC,11,NYT cases,11076,16,133,2020,29,2020-07-12,Jul,7,2020-07-01,District of Columbia
2020-07-16,DC,11,COVID tracking positive tests,11076,16,133,2020,29,2020-07-12,Jul,7,2020-07-01,District of Columbia
2020-07-16,DE,10,NYT cases,13114,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Delaware
2020-07-16,DE,10,COVID tracking positive tests,13114,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Delaware
2020-07-16,FL,12,NYT cases,315767,16,134,2020,29,2020-07-12,Jul,7,2020-07-01,Florida
2020-07-16,FL,12,COVID tracking positive tests,315775,16,134,2020,29,2020-07-12,Jul,7,2020-07-01,Florida
2020-07-16,GA,13,NYT cases,120848,16,134,2020,29,2020-07-12,Jul,7,2020-07-01,Georgia
2020-07-16,GA,13,COVID tracking positive tests,131275,16,134,2020,29,2020-07-12,Jul,7,2020-07-01,Georgia
2020-07-16,HI,15,NYT cases,1290,16,131,2020,29,2020-07-12,Jul,7,2020-07-01,Hawaii
2020-07-16,HI,15,COVID tracking positive tests,1292,16,131,2020,29,2020-07-12,Jul,7,2020-07-01,Hawaii
2020-07-16,IA,19,NYT cases,37414,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Iowa
2020-07-16,IA,19,COVID tracking positive tests,37132,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Iowa
2020-07-16,ID,16,NYT cases,13261,16,131,2020,29,2020-07-12,Jul,7,2020-07-01,Idaho
2020-07-16,ID,16,COVID tracking positive tests,12445,16,131,2020,29,2020-07-12,Jul,7,2020-07-01,Idaho
2020-07-16,IL,17,NYT cases,159605,16,134,2020,29,2020-07-12,Jul,7,2020-07-01,Illinois
2020-07-16,IL,17,COVID tracking positive tests,159082,16,134,2020,29,2020-07-12,Jul,7,2020-07-01,Illinois
2020-07-16,IN,18,NYT cases,55413,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Indiana
2020-07-16,IN,18,COVID tracking positive tests,54080,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Indiana
2020-07-16,KS,20,NYT cases,21273,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Kansas
2020-07-16,KS,20,COVID tracking positive tests,20933,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Kansas
2020-07-16,KY,21,NYT cases,21617,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Kentucky
2020-07-16,KY,21,COVID tracking positive tests,21083,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Kentucky
2020-07-16,LA,22,NYT cases,86521,16,131,2020,29,2020-07-12,Jul,7,2020-07-01,Louisiana
2020-07-16,LA,22,COVID tracking positive tests,86411,16,131,2020,29,2020-07-12,Jul,7,2020-07-01,Louisiana
2020-07-16,MA,25,NYT cases,112581,16,126,2020,29,2020-07-12,Jul,7,2020-07-01,Massachusetts
2020-07-16,MA,25,COVID tracking positive tests,112581,16,126,2020,29,2020-07-12,Jul,7,2020-07-01,Massachusetts
2020-07-16,MD,24,NYT cases,76237,16,133,2020,29,2020-07-12,Jul,7,2020-07-01,Maryland
2020-07-16,MD,24,COVID tracking positive tests,75664,16,133,2020,29,2020-07-12,Jul,7,2020-07-01,Maryland
2020-07-16,ME,23,NYT cases,3598,16,131,2020,29,2020-07-12,Jul,7,2020-07-01,Maine
2020-07-16,ME,23,COVID tracking positive tests,3598,16,131,2020,29,2020-07-12,Jul,7,2020-07-01,Maine
2020-07-16,MI,26,NYT cases,79977,16,137,2020,29,2020-07-12,Jul,7,2020-07-01,Michigan
2020-07-16,MI,26,COVID tracking positive tests,79839,16,137,2020,29,2020-07-12,Jul,7,2020-07-01,Michigan
2020-07-16,MN,27,NYT cases,44387,16,132,2020,29,2020-07-12,Jul,7,2020-07-01,Minnesota
