date,fips,state_name,state,Death Key,Death Value,day,days_elapsed,yr,week,week_year,month_lbl,month,floor_month
2020-01-22,53,Washington,WA,NYT deaths,0,22,0,2020,4,2020-01-19,Jan,1,2020-01-01
2020-01-22,53,Washington,WA,COVID tracking deaths,0,22,0,2020,4,2020-01-19,Jan,1,2020-01-01
2020-01-23,53,Washington,WA,NYT deaths,0,23,1,2020,4,2020-01-19,Jan,1,2020-01-01
2020-01-23,53,Washington,WA,COVID tracking deaths,0,23,1,2020,4,2020-01-19,Jan,1,2020-01-01
2020-01-24,53,Washington,WA,NYT deaths,0,24,2,2020,4,2020-01-19,Jan,1,2020-01-01
2020-01-24,53,Washington,WA,COVID tracking deaths,0,24,2,2020,4,2020-01-19,Jan,1,2020-01-01
2020-01-25,53,Washington,WA,NYT deaths,0,25,3,2020,4,2020-01-19,Jan,1,2020-01-01
2020-01-25,53,Washington,WA,COVID tracking deaths,0,25,3,2020,4,2020-01-19,Jan,1,2020-01-01
2020-01-26,53,Washington,WA,NYT deaths,0,26,4,2020,4,2020-01-26,Jan,1,2020-01-01
2020-01-26,53,Washington,WA,COVID tracking deaths,0,26,4,2020,4,2020-01-26,Jan,1,2020-01-01
2020-01-27,53,Washington,WA,NYT deaths,0,27,5,2020,4,2020-01-26,Jan,1,2020-01-01
2020-01-27,53,Washington,WA,COVID tracking deaths,0,27,5,2020,4,2020-01-26,Jan,1,2020-01-01
2020-01-28,53,Washington,WA,NYT deaths,0,28,6,2020,4,2020-01-26,Jan,1,2020-01-01
2020-01-28,53,Washington,WA,COVID tracking deaths,0,28,6,2020,4,2020-01-26,Jan,1,2020-01-01
2020-01-29,53,Washington,WA,NYT deaths,0,29,7,2020,5,2020-01-26,Jan,1,2020-01-01
2020-01-29,53,Washington,WA,COVID tracking deaths,0,29,7,2020,5,2020-01-26,Jan,1,2020-01-01
2020-01-30,53,Washington,WA,NYT deaths,0,30,8,2020,5,2020-01-26,Jan,1,2020-01-01
2020-01-30,53,Washington,WA,COVID tracking deaths,0,30,8,2020,5,2020-01-26,Jan,1,2020-01-01
2020-01-31,53,Washington,WA,NYT deaths,0,31,9,2020,5,2020-01-26,Jan,1,2020-01-01
2020-01-31,53,Washington,WA,COVID tracking deaths,0,31,9,2020,5,2020-01-26,Jan,1,2020-01-01
2020-02-01,53,Washington,WA,NYT deaths,0,1,10,2020,5,2020-01-26,Feb,2,2020-01-01
2020-02-01,53,Washington,WA,COVID tracking deaths,0,1,10,2020,5,2020-01-26,Feb,2,2020-01-01
2020-02-02,53,Washington,WA,NYT deaths,0,2,11,2020,5,2020-02-02,Feb,2,2020-02-01
2020-02-02,53,Washington,WA,COVID tracking deaths,0,2,11,2020,5,2020-02-02,Feb,2,2020-02-01
2020-02-03,53,Washington,WA,NYT deaths,0,3,12,2020,5,2020-02-02,Feb,2,2020-02-01
2020-02-03,53,Washington,WA,COVID tracking deaths,0,3,12,2020,5,2020-02-02,Feb,2,2020-02-01
2020-02-04,53,Washington,WA,NYT deaths,0,4,13,2020,5,2020-02-02,Feb,2,2020-02-01
2020-02-04,53,Washington,WA,COVID tracking deaths,0,4,13,2020,5,2020-02-02,Feb,2,2020-02-01
2020-02-05,53,Washington,WA,NYT deaths,0,5,14,2020,6,2020-02-02,Feb,2,2020-02-01
2020-02-05,53,Washington,WA,COVID tracking deaths,0,5,14,2020,6,2020-02-02,Feb,2,2020-02-01
2020-02-06,53,Washington,WA,NYT deaths,0,6,15,2020,6,2020-02-02,Feb,2,2020-02-01
2020-02-06,53,Washington,WA,COVID tracking deaths,0,6,15,2020,6,2020-02-02,Feb,2,2020-02-01
2020-02-07,53,Washington,WA,NYT deaths,0,7,16,2020,6,2020-02-02,Feb,2,2020-02-01
2020-02-07,53,Washington,WA,COVID tracking deaths,0,7,16,2020,6,2020-02-02,Feb,2,2020-02-01
2020-02-08,53,Washington,WA,NYT deaths,0,8,17,2020,6,2020-02-02,Feb,2,2020-02-01
2020-02-08,53,Washington,WA,COVID tracking deaths,0,8,17,2020,6,2020-02-02,Feb,2,2020-02-01
2020-02-09,53,Washington,WA,NYT deaths,0,9,18,2020,6,2020-02-09,Feb,2,2020-02-01
2020-02-09,53,Washington,WA,COVID tracking deaths,0,9,18,2020,6,2020-02-09,Feb,2,2020-02-01
2020-02-10,53,Washington,WA,NYT deaths,0,10,19,2020,6,2020-02-09,Feb,2,2020-02-01
2020-02-10,53,Washington,WA,COVID tracking deaths,0,10,19,2020,6,2020-02-09,Feb,2,2020-02-01
2020-02-11,53,Washington,WA,NYT deaths,0,11,20,2020,6,2020-02-09,Feb,2,2020-02-01
2020-02-11,53,Washington,WA,COVID tracking deaths,0,11,20,2020,6,2020-02-09,Feb,2,2020-02-01
2020-02-12,53,Washington,WA,NYT deaths,0,12,21,2020,7,2020-02-09,Feb,2,2020-02-01
2020-02-12,53,Washington,WA,COVID tracking deaths,0,12,21,2020,7,2020-02-09,Feb,2,2020-02-01
2020-02-13,53,Washington,WA,NYT deaths,0,13,22,2020,7,2020-02-09,Feb,2,2020-02-01
2020-02-13,53,Washington,WA,COVID tracking deaths,0,13,22,2020,7,2020-02-09,Feb,2,2020-02-01
2020-02-14,53,Washington,WA,NYT deaths,0,14,23,2020,7,2020-02-09,Feb,2,2020-02-01
2020-02-14,53,Washington,WA,COVID tracking deaths,0,14,23,2020,7,2020-02-09,Feb,2,2020-02-01
2020-02-15,53,Washington,WA,NYT deaths,0,15,24,2020,7,2020-02-09,Feb,2,2020-02-01
2020-02-15,53,Washington,WA,COVID tracking deaths,0,15,24,2020,7,2020-02-09,Feb,2,2020-02-01
2020-02-16,53,Washington,WA,NYT deaths,0,16,25,2020,7,2020-02-16,Feb,2,2020-02-01
2020-02-16,53,Washington,WA,COVID tracking deaths,0,16,25,2020,7,2020-02-16,Feb,2,2020-02-01
2020-02-17,53,Washington,WA,NYT deaths,0,17,26,2020,7,2020-02-16,Feb,2,2020-02-01
2020-02-17,53,Washington,WA,COVID tracking deaths,0,17,26,2020,7,2020-02-16,Feb,2,2020-02-01
2020-02-18,53,Washington,WA,NYT deaths,0,18,27,2020,7,2020-02-16,Feb,2,2020-02-01
2020-02-18,53,Washington,WA,COVID tracking deaths,0,18,27,2020,7,2020-02-16,Feb,2,2020-02-01
2020-02-19,53,Washington,WA,NYT deaths,0,19,28,2020,8,2020-02-16,Feb,2,2020-02-01
2020-02-19,53,Washington,WA,COVID tracking deaths,0,19,28,2020,8,2020-02-16,Feb,2,2020-02-01
2020-02-20,53,Washington,WA,NYT deaths,0,20,29,2020,8,2020-02-16,Feb,2,2020-02-01
2020-02-20,53,Washington,WA,COVID tracking deaths,0,20,29,2020,8,2020-02-16,Feb,2,2020-02-01
2020-02-21,53,Washington,WA,NYT deaths,0,21,30,2020,8,2020-02-16,Feb,2,2020-02-01
2020-02-21,53,Washington,WA,COVID tracking deaths,0,21,30,2020,8,2020-02-16,Feb,2,2020-02-01
2020-02-22,53,Washington,WA,NYT deaths,0,22,31,2020,8,2020-02-16,Feb,2,2020-02-01
2020-02-22,53,Washington,WA,COVID tracking deaths,0,22,31,2020,8,2020-02-16,Feb,2,2020-02-01
2020-02-23,53,Washington,WA,NYT deaths,0,23,32,2020,8,2020-02-23,Feb,2,2020-02-01
2020-02-23,53,Washington,WA,COVID tracking deaths,0,23,32,2020,8,2020-02-23,Feb,2,2020-02-01
2020-02-24,53,Washington,WA,NYT deaths,0,24,33,2020,8,2020-02-23,Feb,2,2020-02-01
2020-02-24,53,Washington,WA,COVID tracking deaths,0,24,33,2020,8,2020-02-23,Feb,2,2020-02-01
2020-02-25,53,Washington,WA,NYT deaths,0,25,34,2020,8,2020-02-23,Feb,2,2020-02-01
2020-02-25,53,Washington,WA,COVID tracking deaths,0,25,34,2020,8,2020-02-23,Feb,2,2020-02-01
2020-02-26,53,Washington,WA,NYT deaths,0,26,35,2020,9,2020-02-23,Feb,2,2020-02-01
2020-02-26,53,Washington,WA,COVID tracking deaths,2,26,35,2020,9,2020-02-23,Feb,2,2020-02-01
2020-02-27,53,Washington,WA,NYT deaths,0,27,36,2020,9,2020-02-23,Feb,2,2020-02-01
2020-02-27,53,Washington,WA,COVID tracking deaths,2,27,36,2020,9,2020-02-23,Feb,2,2020-02-01
2020-02-28,53,Washington,WA,NYT deaths,0,28,37,2020,9,2020-02-23,Feb,2,2020-02-01
2020-02-28,53,Washington,WA,COVID tracking deaths,4,28,37,2020,9,2020-02-23,Feb,2,2020-02-01
2020-02-29,53,Washington,WA,NYT deaths,1,29,38,2020,9,2020-02-23,Feb,2,2020-02-01
2020-02-29,53,Washington,WA,COVID tracking deaths,5,29,38,2020,9,2020-02-23,Feb,2,2020-02-01
2020-03-01,44,Rhode Island,RI,NYT deaths,0,1,0,2020,9,2020-03-01,Mar,3,2020-03-01
2020-03-01,44,Rhode Island,RI,COVID tracking deaths,0,1,0,2020,9,2020-03-01,Mar,3,2020-03-01
2020-03-01,53,Washington,WA,NYT deaths,3,1,39,2020,9,2020-03-01,Mar,3,2020-03-01
2020-03-01,53,Washington,WA,COVID tracking deaths,8,1,39,2020,9,2020-03-01,Mar,3,2020-03-01
2020-03-02,44,Rhode Island,RI,NYT deaths,0,2,1,2020,9,2020-03-01,Mar,3,2020-03-01
2020-03-02,44,Rhode Island,RI,COVID tracking deaths,0,2,1,2020,9,2020-03-01,Mar,3,2020-03-01
2020-03-02,53,Washington,WA,NYT deaths,6,2,40,2020,9,2020-03-01,Mar,3,2020-03-01
2020-03-02,53,Washington,WA,COVID tracking deaths,11,2,40,2020,9,2020-03-01,Mar,3,2020-03-01
2020-03-03,44,Rhode Island,RI,NYT deaths,0,3,2,2020,9,2020-03-01,Mar,3,2020-03-01
2020-03-03,44,Rhode Island,RI,COVID tracking deaths,0,3,2,2020,9,2020-03-01,Mar,3,2020-03-01
2020-03-03,53,Washington,WA,NYT deaths,10,3,41,2020,9,2020-03-01,Mar,3,2020-03-01
2020-03-03,53,Washington,WA,COVID tracking deaths,14,3,41,2020,9,2020-03-01,Mar,3,2020-03-01
2020-03-04,04,Arizona,AZ,NYT deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,04,Arizona,AZ,COVID tracking deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,06,California,CA,NYT deaths,1,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,06,California,CA,COVID tracking deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,12,Florida,FL,NYT deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,12,Florida,FL,COVID tracking deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,13,Georgia,GA,NYT deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,13,Georgia,GA,COVID tracking deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,17,Illinois,IL,NYT deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
