date,state,fips,measure,data_quality_grade,day,days_elapsed,yr,week,week_year,month_lbl,month,floor_month,Positive Test Metric,Positive Test Value
2020-07-05,WY,56,positive,B,5,120,2020,27,2020-07-05,Jul,7,2020-07-01,positive tests,1634
2020-07-05,WY,56,positive,B,5,120,2020,27,2020-07-05,Jul,7,2020-07-01,positive tests (7-day-avg),NA
2020-07-04,WY,56,positive,B,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,positive tests,1606
2020-07-04,WY,56,positive,B,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,positive tests (7-day-avg),NA
2020-07-03,WY,56,positive,B,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,positive tests,1582
2020-07-03,WY,56,positive,B,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,positive tests (7-day-avg),NA
2020-07-02,WY,56,positive,B,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,positive tests,1550
2020-07-02,WY,56,positive,B,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,positive tests (7-day-avg),1546.142857142857
2020-07-01,WY,56,positive,B,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,positive tests,1514
2020-07-01,WY,56,positive,B,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,positive tests (7-day-avg),1515.142857142857
2020-06-30,WY,56,positive,B,30,115,2020,26,2020-06-28,Jun,6,2020-06-01,positive tests,1487
2020-06-30,WY,56,positive,B,30,115,2020,26,2020-06-28,Jun,6,2020-06-01,positive tests (7-day-avg),1484.5714285714287
2020-06-29,WY,56,positive,B,29,114,2020,26,2020-06-28,Jun,6,2020-06-01,positive tests,1450
2020-06-29,WY,56,positive,B,29,114,2020,26,2020-06-28,Jun,6,2020-06-01,positive tests (7-day-avg),1454
2020-06-28,WY,56,positive,B,28,113,2020,26,2020-06-28,Jun,6,2020-06-01,positive tests,1417
2020-06-28,WY,56,positive,B,28,113,2020,26,2020-06-28,Jun,6,2020-06-01,positive tests (7-day-avg),1422
2020-06-27,WY,56,positive,B,27,112,2020,26,2020-06-21,Jun,6,2020-06-01,positive tests,1392
2020-06-27,WY,56,positive,B,27,112,2020,26,2020-06-21,Jun,6,2020-06-01,positive tests (7-day-avg),1388.4285714285713
2020-06-26,WY,56,positive,B,26,111,2020,26,2020-06-21,Jun,6,2020-06-01,positive tests,1368
2020-06-26,WY,56,positive,B,26,111,2020,26,2020-06-21,Jun,6,2020-06-01,positive tests (7-day-avg),1355.142857142857
2020-06-25,WY,56,positive,B,25,110,2020,26,2020-06-21,Jun,6,2020-06-01,positive tests,1326
2020-06-25,WY,56,positive,B,25,110,2020,26,2020-06-21,Jun,6,2020-06-01,positive tests (7-day-avg),1323.7142857142858
2020-06-24,WY,56,positive,B,24,109,2020,26,2020-06-21,Jun,6,2020-06-01,positive tests,1279
2020-06-24,WY,56,positive,B,24,109,2020,26,2020-06-21,Jun,6,2020-06-01,positive tests (7-day-avg),1292.2857142857142
