date,state,fips,measure,data_quality_grade,positive tests,day,days_elapsed,yr,week,week_year,month_lbl,month,floor_month,pos_test_7da
2020-07-05,AK,02,positive,A,1138,5,121,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,AL,01,positive,B,43953,5,120,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,AR,05,positive,A,23209,5,121,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,AZ,04,positive,A+,98089,5,123,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,CA,06,positive,B,260155,5,123,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,CO,08,positive,A,33866,5,122,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,CT,09,positive,B,46717,5,120,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,DC,11,positive,A+,10482,5,122,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,DE,10,positive,A+,12128,5,121,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,FL,12,positive,A,200111,5,123,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,GA,13,positive,A,95516,5,123,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,HI,15,positive,D,999,5,120,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,IA,19,positive,A+,31353,5,121,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,ID,16,positive,A,7370,5,120,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,IL,17,positive,A,148373,5,123,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,IN,18,positive,A+,48008,5,121,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,KS,20,positive,A,15919,5,121,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,KY,21,positive,B,16376,5,121,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,LA,22,positive,B,65226,5,120,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,MA,25,positive,A+,109974,5,115,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,MD,24,positive,A,69632,5,122,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,ME,23,positive,A+,3415,5,120,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,MI,26,positive,A+,72941,5,126,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,MN,27,positive,A,38136,5,121,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,MO,29,positive,B,23436,5,120,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,MS,28,positive,A,30900,5,120,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,MT,30,positive,C,1212,5,120,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,NC,37,positive,A,72983,5,123,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,ND,38,positive,D,3816,5,120,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,NE,31,positive,B,19827,5,122,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,NH,33,positive,B,5857,5,123,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,NJ,34,positive,A+,173402,5,122,2020,27,2020-07-05,Jul,7,2020-07-01,NA
2020-07-05,NM,35,positive,B,13063,5,121,2020,27,2020-07-05,Jul,7,2020-07-01,NA
